Date	Time	Open	High	Low	Close	Volume
15/02/2024	00:00:00	1.65871	1.67871	1.63692	1.67151	781587
15/02/2024	00:30:00	1.67154	1.69983	1.66101	1.69843	894577
15/02/2024	01:00:00	1.6978	1.69944	1.61984	1.63044	1289961
15/02/2024	01:30:00	1.63043	1.6409	1.61	1.63692	849688
15/02/2024	02:00:00	1.63706	1.65	1.6237	1.62573	889589
15/02/2024	02:30:00	1.62573	1.62573	1.59576	1.6026	1621298
15/02/2024	03:00:00	1.60279	1.627	1.60235	1.61918	820993
15/02/2024	03:30:00	1.61986	1.63289	1.61868	1.6308	523567
15/02/2024	04:00:00	1.6305	1.65	1.62169	1.64543	691731
15/02/2024	04:30:00	1.64575	1.65632	1.633	1.63798	825643
15/02/2024	05:00:00	1.63798	1.638	1.62052	1.6245	564292
15/02/2024	05:30:00	1.62494	1.63237	1.59509	1.60582	1310048
15/02/2024	06:00:00	1.60623	1.6169	1.56379	1.57221	1748834
15/02/2024	06:30:00	1.57171	1.59999	1.56224	1.58226	1057032
15/02/2024	07:00:00	1.58248	1.599	1.57	1.59567	712410
15/02/2024	07:30:00	1.59539	1.59539	1.56933	1.57629	644645
15/02/2024	08:00:00	1.57621	1.608	1.57549	1.60191	825615
15/02/2024	08:30:00	1.60161	1.61	1.59803	1.60298	411234
15/02/2024	09:00:00	1.60297	1.62	1.59597	1.61281	768493
15/02/2024	09:30:00	1.61281	1.62622	1.611	1.61871	718385
15/02/2024	10:00:00	1.61925	1.62365	1.59348	1.59461	1187328
15/02/2024	10:30:00	1.59462	1.6151	1.59448	1.60221	742068
15/02/2024	11:00:00	1.60214	1.61569	1.6007	1.61049	576615
15/02/2024	11:30:00	1.61051	1.61568	1.57979	1.58455	1135927
15/02/2024	12:00:00	1.58521	1.59341	1.56611	1.58923	1286803
15/02/2024	12:30:00	1.58925	1.58951	1.55085	1.57205	2132269
15/02/2024	13:00:00	1.57241	1.58723	1.55292	1.56634	1168266
15/02/2024	13:30:00	1.56635	1.57651	1.55071	1.57328	896993
15/02/2024	14:00:00	1.57344	1.58404	1.56494	1.58216	703330
15/02/2024	14:30:00	1.5818	1.60617	1.576	1.59054	999984
15/02/2024	15:00:00	1.58991	1.59455	1.55932	1.56493	1400954
15/02/2024	15:30:00	1.56426	1.56542	1.52364	1.54514	1990976
15/02/2024	16:00:00	1.54488	1.55259	1.50341	1.53846	2212888
15/02/2024	16:30:00	1.53824	1.5449	1.52836	1.53864	829135
15/02/2024	17:00:00	1.53865	1.55	1.53551	1.54652	513982
15/02/2024	17:30:00	1.54725	1.55181	1.53576	1.53733	423482
15/02/2024	18:00:00	1.53751	1.55821	1.53501	1.55459	471204
15/02/2024	18:30:00	1.55444	1.55663	1.54309	1.54832	314335
15/02/2024	19:00:00	1.54832	1.55337	1.54228	1.54909	358916
15/02/2024	19:30:00	1.54916	1.5759	1.54524	1.56121	670164
15/02/2024	20:00:00	1.56143	1.60467	1.55911	1.598	1631930
15/02/2024	20:30:00	1.59743	1.60362	1.5801	1.59592	730832
15/02/2024	21:00:00	1.59593	1.62207	1.58915	1.5923	1210996
15/02/2024	21:30:00	1.59246	1.59999	1.56902	1.57604	976558
15/02/2024	22:00:00	1.57602	1.58947	1.56474	1.5798	512098
15/02/2024	22:30:00	1.5792	1.58853	1.56807	1.57387	384404
15/02/2024	23:00:00	1.57401	1.59114	1.57	1.58655	498904
15/02/2024	23:30:00	1.58665	1.59794	1.58085	1.59407	326035
16/02/2024	00:00:00	1.59419	1.64	1.58273	1.58659	1312312
