Date	Time	Open	High	Low	Close	Volume
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12397443.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12397443.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398112.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398112.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398112.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398281.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398281.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398450.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398450.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398450.6
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398703.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398703.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398703.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398872.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398872.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398872.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398872.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398872.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398872.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12398872.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12400375.7
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400589.7
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400589.7
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400589.7
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400589.7
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400759.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400956.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400956.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12400956.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12401125.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12401125.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12401125.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12401294.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5877	12401294.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12402215.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12402215.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5876	12402215.3
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12405930.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12405930.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12405930.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12405930.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406099.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406268.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406268.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406268.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406437.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406437.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406437.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5878	12406437.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12409297.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12409297.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12409297.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12409466.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12409466.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12411553.4
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12422403.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5879	12422403.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.588	12423118.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.588	12423118.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12423979.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430352.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430352.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430352.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430352.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430352.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430352.5
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430513.1
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430513.1
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430513.1
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430513.1
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5881	12430513.1
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5882	12448289.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5882	12448289.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12452111.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5883	12476699.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5885	12478167.9
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5885	12478167.9
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5886	12478201.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5886	12478201.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5886	12478201.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5886	12478201.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5886	12478201.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5886	12478201.8
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12478213.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12479509.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12479509.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12479509.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12479509.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5887	12479509.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484271.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484271.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484271.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484271.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484271.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484271.0
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12484415.2
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12485023.1
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12485023.1
16/02/2024	15:00:00	0.5908	0.591	0.5821	0.5888	12485070.8
